commit,date,subject,status,isa1_median,isa2_median,isa3_median
55c493f770ec3551bb55dcffb49cc4b8842ff21d,2025-07-18T18:40:43-04:00,attempt at debugging missed hits,OK,0.194345,0.135461,0.075284
1e7924fc4f2d2d18f46c7c93c8a3811747879d59,2025-07-23T05:45:42-04:00,success; fix weyl alcove invariant conventions for fixing reflects/c-sign,OK,0.068371,0.067918,0.017898
c5978f9d31bf66881618ae94037ec0077998a1ca,2025-07-23T06:05:43-04:00,add eps to no free variable case,OK,0.074705,0.074669,0.018587
d972cfa47e1973913bce0d643875a89bcb536197,2025-07-23T14:16:15-04:00,feat: easy and hard local search options for breakearly,OK,0.067312,0.127593,0.020151
433d720cc8173e8db3cece62ad88743488462e21,2025-07-23T14:23:52-04:00,modify easy hard restarts,OK,0.069369,0.108604,0.018833
7b751399184e56adf34d78ee489dc237fdccd66a,2025-07-23T16:58:24-04:00,feat: unit tests,OK,0.072771,0.12341,0.020048
67fea63157bb784fb93ac0c514f22876e53c6c0e,2025-07-23T17:30:41-04:00,add xxdecomposer comparison,OK,0.074932,0.128517,0.02071
f5bc1605ce5e3ba869882992101867d4441aee64,2025-07-24T18:07:26-04:00,nuop comparison tests,OK,0.06679,0.11387,0.019595
2e1d60b73a49dab21cc9402b95bac1ecaf40e045,2025-07-26T13:57:44-04:00,feat: sentences less than length 2 edge cases,OK,0.072562,0.11594,0.019124
389eeb5592968e54952b52cca8e45018e961eeef,2025-07-28T23:34:24-04:00,feat: abmb recover local symmetry case; closes #2;#3,OK,0.073308,0.117094,0.017833
0ee2cb638ec58b4d2f3f759df9cd96f042f80311,2025-07-29T00:29:01-04:00,broken swap case,OK,0.070202,0.11441,0.018227
5d60df0302462c2e5f9b72deef672199e66ac80f,2025-07-31T01:35:15-04:00,resolve issue relating to scaling; unsorted polytopes when 1q cost is 0,OK,0.045426,0.110164,0.019004
738c431d215c1d2e27389c9ea70f75b5f57e8412,2025-07-31T18:24:36-04:00,attempt makhlin symmetry break but makes things worse!,OK,0.186198,0.177207,0.018055
87054a34a261a4d9574c41e93587884c14e6adde,2025-08-03T01:46:34-04:00,numerics linear scaling,OK,0.224817,0.140715,0.019725
e1004ea180bc70bb17f28faafbdb18f27abff91b,2025-08-04T13:52:45-04:00,fix recover to detect rho reflect case,OK,0.220349,0.137205,0.018984
441b1b2d5c7420967d7e94af45be1f8c28f87c35,2025-08-04T14:18:33-04:00,fix mirror enumerate,OK,0.223325,0.137164,0.018676
49ecbc382f43058d111b0474baee09acccd119bb,2025-08-24T23:57:43-04:00,feat: continuous isa lp,OK,0.21076,0.198046,0.021471
cc5cfd2bb2707eba62d010d8ac513fce3054b4a5,2025-12-01T12:15:10-05:00,refactor: python dirs,OK,0.195572,0.194691,0.019632
5900831f1be3a9bc6b5e4b194f64217c766aa42e,2025-12-01T17:49:11-05:00,refactor: remove dependence on monodromy fork,OK,0.202361,0.185575,0.018435
f96aab93f976cfea89d7cfca052ed94cc1c3d391,2025-12-24T15:58:35-05:00,feat: more stable rv smooth def,OK,0.030268,0.024065,0.018054
f25d3b9767466a5152daf907d27cca550175a275,2025-12-24T19:38:33-05:00,feat: tweaks fo numericsr speedups,OK,0.022851,0.018793,0.013321
1712330532259fa8af7bf58bf088ebedcee1a39b,2025-12-24T22:51:29-05:00,fix: tweak tolerances,OK,0.027643,0.022514,0.01611
e980e78d670f8aac3d4e56daa2bd7bf2d156bf70,2026-01-05T01:38:49-05:00,feat: class contains both sequential and batched stitch strategies,OK,0.022169,0.019502,0.014173
913afe3c6caba45307f2754e231005966d9f503d,2026-01-05T02:23:39-05:00,feat: fix polytope report card,OK,0.022077,0.019084,0.014209
280b226844a0cdb75bf68daa13f5e6558e7a56a6,2026-01-06T15:49:47-05:00,feat: improved coverage plots and report,OK,0.02134,0.018083,0.01531
cec4a802a0eef8da7e8c2bec9fb743989dd0490f,2026-01-06T18:48:44-05:00,fix: improved 1q cost conventions,OK,0.020876,0.017869,0.013813
b10236199f98eedc9a53810a29970cdb9acb585a,2026-01-06T19:24:19-05:00,fix: simplified polytope plotting,OK,0.021527,0.018593,0.013817
2dd5df24251e8e82a25b23d3681682cd9a8c9061,2026-01-07T03:39:41-05:00,fix: config tolerances using dependency injection pattern,OK,0.032621,0.023309,0.01669
f5ae4d911eddf85e44e5a63625847c82af2966ff,2026-01-07T19:38:56-05:00,feat: add cache to segment synthesizer,OK,0.033476,0.024189,0.01561
495e9f2ef9aa11ad14a0b5c314f1c30c1e983d05,2026-01-07T19:56:18-05:00,feat: replace lru with lfu cache,OK,0.028532,0.023423,0.014556
c4657061e867efaa4efe983cc73d9ab696c9094a,2026-01-07T22:26:46-05:00,fix: faster handling of prng,OK,0.02092,0.015305,0.010274
7c416bc33c40d1c61b1ed0836c0ff1bc85566505,2026-01-08T00:25:01-05:00,feat: fast jax while loop,OK,0.015833,0.011531,0.00778
ac888deb2167d25571da027a40706cb2711930eb,2026-01-08T00:30:32-05:00,fix: warm up test_slow,OK,0.016083,0.01239,0.007858
16b4c6f8f4c06257ff532b942d7b87138adc503b,2026-01-08T01:13:34-05:00,fix: remove phase 1 early exit by making warmstart0 free pass,OK,0.016038,0.012193,0.007798
770a5ca9fcb6c751dc8d75ece9917f77eca3acbb,2026-01-08T01:16:49-05:00,fix: prng fold in,OK,0.01601,0.012013,0.007809
972afb7a6f31ad20df1666c069b449947c8e55f0,2026-01-08T11:02:43-05:00,fix: remove jax invariant registry,OK,0.012752,0.010606,0.007339
c50773a6e93e2382d32157acd9ba2fee88e4a17b,2026-01-08T11:39:36-05:00,fix: bring back det normalization,OK,0.015956,0.011901,0.007757
ea7b9fbd0e9c4b1fd14354614e5820612a86725e,2026-01-09T15:27:27-05:00,feat: generalize GulpsDecomposer to support discrete and continuous ISA,OK,0.016056,0.011802,0.007684
3c9e31fc67d764bfe085c2b4fe7f6fcfe34e6f82,2026-01-10T15:07:52-05:00,fix: expose solve instead of solve_auto_rho,OK,0.016495,0.011863,0.007648
